,Teams,GP : Games Played,S : Shots,SOG : Shots On Goal,SOP : Shots On Post,SOFF : Shots Off Target,SAB : Shot Attempts Blocked,POSS : Possession Time Minutes Average,C : Crosses,CS : Crosses Successful,P : Passes,PC : Pass Completions,PL : Pass Attempts - Long,PLC : Pass Completions - Long,CK : Corner Kicks,OFF : Offsides
12,        Denmark      ,    3  ,    35  ,    12  ,    0  ,    14  ,    9  ,    60  ,    76  ,    16  ,"    1,622  ","    1,484  ",    99  ,    46  ,    21  ,    5  
13,        South Korea      ,    4  ,    47  ,    18  ,    0  ,    14  ,    15  ,    48  ,    95  ,    18  ,"    1,611  ","    1,474  ",    150  ,    55  ,    24  ,    7  
14,        Japan      ,    4  ,    42  ,    13  ,    0  ,    13  ,    14  ,    36  ,    67  ,    15  ,"    1,411  ","    1,255  ",    106  ,    27  ,    19  ,    9  
15,        Canada      ,    3  ,    35  ,    5  ,    1  ,    19  ,    11  ,    52  ,    58  ,    19  ,"    1,312  ","    1,197  ",    89  ,    35  ,    12  ,    8  
16,        Senegal      ,    4  ,    51  ,    14  ,    0  ,    22  ,    15  ,    45  ,    69  ,    16  ,"    1,335  ","    1,179  ",    122  ,    38  ,    22  ,    8  
17,        Morocco      ,    5  ,    36  ,    13  ,    1  ,    17  ,    6  ,    33  ,    45  ,    12  ,"    1,322  ","    1,162  ",    180  ,    69  ,    6  ,    14  
18,        Australia      ,    4  ,    23  ,    8  ,    0  ,    8  ,    7  ,    38  ,    65  ,    13  ,"    1,330  ","    1,116  ",    153  ,    70  ,    8  ,    1  
19,        Ecuador      ,    3  ,    25  ,    12  ,    0  ,    7  ,    6  ,    53  ,    53  ,    15  ,"    1,160  ","    1,043  ",    99  ,    31  ,    11  ,    7  
20,        Serbia      ,    3  ,    33  ,    12  ,    1  ,    15  ,    6  ,    50  ,    67  ,    14  ,"    1,164  ","    1,024  ",    92  ,    25  ,    9  ,    4  
21,        Uruguay      ,    3  ,    30  ,    8  ,    0  ,    18  ,    4  ,    48  ,    49  ,    14  ,"    1,175  ","    1,020  ",    89  ,    39  ,    8  ,    3  
22,        Poland      ,    4  ,    29  ,    8  ,    1  ,    11  ,    10  ,    37  ,    51  ,    13  ,"    1,157  ","    1,014  ",    175  ,    73  ,    11  ,    1  
23,        Mexico      ,    3  ,    44  ,    16  ,    0  ,    12  ,    15  ,    54  ,    79  ,    15  ,"    1,079  ",    976  ,    101  ,    37  ,    16  ,    13  
24,        Qatar      ,    3  ,    19  ,    7  ,    1  ,    12  ,    0  ,    44  ,    46  ,    11  ,"    1,074  ",    969  ,    106  ,    33  ,    9  ,    7  
25,        Wales      ,    3  ,    19  ,    6  ,    0  ,    8  ,    5  ,    45  ,    44  ,    10  ,"    1,044  ",    907  ,    135  ,    57  ,    6  ,    4  
26,        Ghana      ,    3  ,    24  ,    10  ,    0  ,    10  ,    3  ,    42  ,    49  ,    8  ,    985  ,    879  ,    89  ,    17  ,    13  ,    4  
27,        Tunisia      ,    3  ,    31  ,    8  ,    0  ,    12  ,    10  ,    45  ,    59  ,    11  ,"    1,023  ",    879  ,    109  ,    34  ,    21  ,    7  
28,        Cameroon      ,    3  ,    24  ,    14  ,    0  ,    6  ,    4  ,    43  ,    54  ,    7  ,    975  ,    855  ,    133  ,    57  ,    12  ,    2  
29,        Saudi Arabia      ,    3  ,    27  ,    7  ,    1  ,    16  ,    3  ,    45  ,    47  ,    10  ,    919  ,    772  ,    101  ,    33  ,    8  ,    3  
30,        Costa Rica      ,    3  ,    9  ,    4  ,    0  ,    2  ,    3  ,    31  ,    21  ,    4  ,    841  ,    748  ,    110  ,    30  ,    1  ,    13  
31,        Iran      ,    3  ,    33  ,    10  ,    1  ,    13  ,    6  ,    38  ,    48  ,    6  ,    838  ,    693  ,    115  ,    26  ,    8  ,    6  
